Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (å¡C),Temp Flag,Dew Point Temp (å¡C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 9:00,2019,5,2,9:00,0.2,,-0.5,,95,,14,,5,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 10:00,2019,5,2,10:00,1.9,,-1,,81,,22,,3,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 11:00,2019,5,2,11:00,2.8,,-3.3,,64,,18,,9,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 12:00,2019,5,2,12:00,5.6,,-3.2,,53,,15,,9,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 13:00,2019,5,2,13:00,6.3,,-6.5,,39,,15,,14,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 14:00,2019,5,2,14:00,7.8,,-7.9,,32,,16,,14,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 15:00,2019,5,2,15:00,8.7,,-7.6,,31,,17,,14,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 16:00,2019,5,2,16:00,9.3,,-6,,34,,19,,15,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 17:00,2019,5,2,17:00,9.2,,-4.3,,38,,22,,20,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 18:00,2019,5,2,18:00,10.1,,-3.5,,38,,26,,9,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 19:00,2019,5,2,19:00,7.9,,-0.3,,56,,3,,10,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 20:00,2019,5,2,20:00,6.5,,0.7,,67,,6,,7,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 21:00,2019,5,2,21:00,5.2,,0.1,,70,,5,,3,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 22:00,2019,5,2,22:00,4.7,,1,,77,,,,0,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 23:00,2019,5,2,23:00,4.7,,1.4,,79,,34,,5,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 0:00,2019,5,3,0:00,4.7,,2.3,,85,,35,,10,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 1:00,2019,5,3,1:00,4.9,,0.7,,74,,33,,11,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 2:00,2019,5,3,2:00,5.1,,-0.4,,68,,24,,10,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 3:00,2019,5,3,3:00,4.8,,-0.5,,69,,26,,10,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 4:00,2019,5,3,4:00,3.8,,0.5,,79,,29,,12,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 5:00,2019,5,3,5:00,3.3,,1.3,,87,,31,,13,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 6:00,2019,5,3,6:00,2.9,,1.7,,92,,33,,16,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 7:00,2019,5,3,7:00,2.1,,-3,,69,,34,,22,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 8:00,2019,5,3,8:00,0.6,,0.6,,100,,34,,16,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 9:00,2019,5,3,9:00,-0.3,,-1,,95,,1,,21,,,,,M,,,-6,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 10:00,2019,5,3,10:00,-0.1,,-0.2,,100,,36,,22,,,,,M,,,-6,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 11:00,2019,5,3,11:00,0.2,,0.2,,100,,33,,19,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 12:00,2019,5,3,12:00,-0.5,,-0.5,,100,,36,,18,,,,,M,,,-6,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 13:00,2019,5,3,13:00,1.7,,1.1,,96,,32,,16,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 14:00,2019,5,3,14:00,2,,-3,,69,,31,,17,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 15:00,2019,5,3,15:00,1.5,,-2.5,,74,,33,,20,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 16:00,2019,5,3,16:00,2.2,,-4.7,,60,,33,,19,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 17:00,2019,5,3,17:00,1.9,,-7.5,,50,,32,,23,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 18:00,2019,5,3,18:00,1.8,,-7.9,,49,,31,,17,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 19:00,2019,5,3,19:00,1.7,,-10,,41,,31,,15,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 20:00,2019,5,3,20:00,1.5,,-10.1,,42,,30,,14,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 21:00,2019,5,3,21:00,0.9,,-8.8,,48,,30,,13,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 22:00,2019,5,3,22:00,0.3,,-8.4,,52,,30,,13,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-03 23:00,2019,5,3,23:00,-0.7,,-3.7,,80,,27,,14,,,,,M,,,-5,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 0:00,2019,5,4,0:00,-1.6,,-2.7,,92,,27,,11,,,,,M,,,-5,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 1:00,2019,5,4,1:00,-1.4,,-2.9,,89,,32,,6,,,,,M,,,-4,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 2:00,2019,5,4,2:00,-1.7,,-5,,78,,29,,6,,,,,M,,,-4,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 3:00,2019,5,4,3:00,-2.1,,-3.3,,92,,28,,9,,,,,M,,,-6,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 4:00,2019,5,4,4:00,-2,,-2.9,,94,,32,,10,,,,,M,,,-6,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 5:00,2019,5,4,5:00,-2.5,,-3.4,,93,,34,,9,,,,,M,,,-6,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 6:00,2019,5,4,6:00,-1.9,,-3.8,,87,,34,,13,,,,,M,,,-6,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 7:00,2019,5,4,7:00,-1.2,,-9,,55,,36,,14,,,,,M,,,-6,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 8:00,2019,5,4,8:00,-0.7,,-10.2,,49,,34,,18,,,,,M,,,-6,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 9:00,2019,5,4,9:00,0.8,,-9.9,,45,,34,,18,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 10:00,2019,5,4,10:00,1.8,,-10.6,,39,,34,,19,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 11:00,2019,5,4,11:00,2.3,,-10.9,,37,,35,,23,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 12:00,2019,5,4,12:00,3.2,,-10.9,,35,,35,,15,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 13:00,2019,5,4,13:00,4.6,,-11.3,,30,,32,,14,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 14:00,2019,5,4,14:00,5,,-12,,28,,33,,15,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 15:00,2019,5,4,15:00,4.7,,-12.2,,28,,31,,17,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 16:00,2019,5,4,16:00,4.9,,-13.1,,26,,32,,17,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 17:00,2019,5,4,17:00,5.6,,-13.1,,25,,32,,13,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 18:00,2019,5,4,18:00,4.8,,-12.6,,27,,36,,15,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 19:00,2019,5,4,19:00,4.5,,-12.6,,28,,32,,14,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 20:00,2019,5,4,20:00,3.4,,-12.5,,30,,33,,7,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 21:00,2019,5,4,21:00,2.6,,-12.6,,32,,31,,4,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 22:00,2019,5,4,22:00,0.5,,-10.2,,44,,24,,8,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-04 23:00,2019,5,4,23:00,-0.1,,-7,,60,,23,,3,,,,,M,,,-1,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 0:00,2019,5,5,0:00,-0.6,,-5.8,,68,,25,,5,,,,,M,,,-2,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 1:00,2019,5,5,1:00,-1.6,,-5.9,,73,,0,,1,,,,,M,,,-2,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 2:00,2019,5,5,2:00,-1.9,,-5.3,,78,,20,,3,,,,,M,,,-3,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 3:00,2019,5,5,3:00,-3,,-5.5,,83,,20,,3,,,,,M,,,-4,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 4:00,2019,5,5,4:00,-3.5,,-5.6,,86,,13,,3,,,,,M,,,-5,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 5:00,2019,5,5,5:00,-3.8,,-4.8,,93,,12,,3,,,,,M,,,-5,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 6:00,2019,5,5,6:00,-3.4,,-4.7,,91,,15,,3,,,,,M,,,-5,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 7:00,2019,5,5,7:00,-0.6,,-5.9,,67,,15,,5,,,,,M,,,-2,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 8:00,2019,5,5,8:00,1.7,,-6.8,,53,,15,,10,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 9:00,2019,5,5,9:00,3.5,,-7.7,,44,,15,,13,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 10:00,2019,5,5,10:00,5.4,,-8,,37,,14,,13,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 11:00,2019,5,5,11:00,6.4,,-10.6,,28,,14,,14,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 12:00,2019,5,5,12:00,7,,-10.8,,27,,17,,12,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 13:00,2019,5,5,13:00,7.9,,-9.5,,28,,16,,13,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 14:00,2019,5,5,14:00,9.3,,-9.6,,25,,14,,16,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 15:00,2019,5,5,15:00,9,,-9.6,,26,,17,,11,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 16:00,2019,5,5,16:00,9.2,,-8.6,,28,,16,,13,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 17:00,2019,5,5,17:00,8.4,,-8.2,,30,,20,,13,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 18:00,2019,5,5,18:00,8.6,,-7.3,,32,,19,,10,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 19:00,2019,5,5,19:00,8.3,,-6.6,,34,,22,,10,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 20:00,2019,5,5,20:00,7.7,,-5,,40,,22,,9,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 21:00,2019,5,5,21:00,6.9,,-4.2,,45,,22,,4,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 22:00,2019,5,5,22:00,5.9,,-3.5,,51,,23,,5,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-05 23:00,2019,5,5,23:00,5.4,,-2.8,,55,,24,,4,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 0:00,2019,5,6,0:00,5,,-2.5,,58,,22,,2,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 1:00,2019,5,6,1:00,4.7,,-2.2,,61,,20,,5,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 2:00,2019,5,6,2:00,4,,-1.8,,66,,20,,4,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 3:00,2019,5,6,3:00,3.6,,-1.6,,69,,17,,4,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 4:00,2019,5,6,4:00,3.6,,-1.5,,69,,19,,5,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 5:00,2019,5,6,5:00,2.9,,-1,,75,,21,,3,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 6:00,2019,5,6,6:00,3.1,,-1.2,,74,,18,,4,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 7:00,2019,5,6,7:00,5.3,,-1,,64,,22,,7,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 8:00,2019,5,6,8:00,5.8,,-0.9,,62,,22,,9,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 9:00,2019,5,6,9:00,6.1,,-1.4,,59,,25,,8,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 10:00,2019,5,6,10:00,8.3,,-2.1,,48,,27,,8,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 11:00,2019,5,6,11:00,8.9,,-2.4,,45,,31,,8,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 12:00,2019,5,6,12:00,9.8,,-3.5,,39,,29,,9,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 13:00,2019,5,6,13:00,10.6,,-3.2,,38,,23,,10,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 14:00,2019,5,6,14:00,12,,-4.6,,31,,27,,12,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 15:00,2019,5,6,15:00,12.9,,-3.2,,32,,32,,10,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 16:00,2019,5,6,16:00,12,,-4.3,,32,,32,,13,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 17:00,2019,5,6,17:00,11.8,,-4.3,,32,,1,,8,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 18:00,2019,5,6,18:00,12.5,,-4.3,,31,,3,,9,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 19:00,2019,5,6,19:00,11.7,,-4.4,,32,,35,,6,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 20:00,2019,5,6,20:00,10.6,,-4.5,,34,,6,,7,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 21:00,2019,5,6,21:00,10.2,,-4.3,,36,,10,,7,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 22:00,2019,5,6,22:00,9.8,,-3.2,,40,,35,,9,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-06 23:00,2019,5,6,23:00,8.8,,-2.3,,46,,8,,12,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 0:00,2019,5,7,0:00,8.4,,-2,,48,,7,,8,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 1:00,2019,5,7,1:00,7.5,,-1,,55,,7,,8,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 2:00,2019,5,7,2:00,6.8,,0.5,,64,,10,,11,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 3:00,2019,5,7,3:00,6.6,,1.7,,71,,11,,7,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 4:00,2019,5,7,4:00,5.9,,2.4,,78,,16,,9,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 5:00,2019,5,7,5:00,5.3,,3.9,,90,,16,,4,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 6:00,2019,5,7,6:00,5.2,,4.8,,98,,18,,6,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 7:00,2019,5,7,7:00,5.4,,4.8,,96,,17,,9,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 8:00,2019,5,7,8:00,5.8,,4.3,,90,,17,,10,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 9:00,2019,5,7,9:00,6.6,,4.8,,89,,19,,8,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 10:00,2019,5,7,10:00,7.2,,2.8,,73,,18,,5,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 11:00,2019,5,7,11:00,7.4,,3.9,,79,,19,,7,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 12:00,2019,5,7,12:00,7.4,,3.9,,78,,17,,7,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 13:00,2019,5,7,13:00,8,,3.1,,71,,18,,7,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 14:00,2019,5,7,14:00,8.4,,3,,69,,22,,8,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 15:00,2019,5,7,15:00,9.2,,1.8,,60,,17,,8,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 16:00,2019,5,7,16:00,10.8,,-1.5,,42,,14,,10,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 17:00,2019,5,7,17:00,11.6,,-0.9,,42,,17,,7,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-07 18:00,2019,5,7,18:00,11.7,,-2.9,,36,,11,,8,,,,,M,,,,,
